(0.82, -0.10, 0.57), (0.99, -0.11, -0.12), (0.94, -0.10, -0.32), (0.93, -0.34, -0.15), (0.94, -0.30, -0.18)
(0.87, -0.47, -0.15), (0.52, -0.52, -0.67), (0.78, -0.56, -0.29), (0.78, -0.62, -0.12), (0.82, -0.54, -0.17)
(0.84, -0.48, -0.24), (0.57, -0.37, -0.73), (0.47, -0.28, -0.83), (0.58, -0.33, -0.75), (0.74, -0.29, -0.60)
(0.98, -0.18, -0.06), (0.40, 0.39, -0.83), (0.19, 0.55, -0.81), (0.36, 0.64, -0.68), (0.61, 0.60, -0.52)
(0.98, -0.13, -0.11), (0.52, 0.49, -0.70), (0.19, 0.68, -0.71), (0.30, 0.76, -0.57), (0.39, 0.81, -0.43)
(0.91, -0.38, 0.15), (0.25, 0.82, -0.52), (-0.17, 0.96, -0.23), (-0.08, 0.99, -0.11), (0.19, 0.98, 0.00)
(-0.13, -0.56, 0.82), (-0.55, -0.53, 0.65), (-0.56, -0.75, 0.35), (-0.38, -0.80, 0.47), (-0.38, -0.88, 0.28)
(0.06, -0.34, 0.94), (-0.54, -0.45, 0.72), (-0.57, -0.49, 0.66), (-0.68, -0.45, 0.58), (-0.67, -0.67, 0.34)
(0.29, -0.33, 0.90), (-0.20, -0.64, 0.74), (-0.39, -0.57, 0.72), (-0.46, -0.54, 0.70), (-0.33, -0.85, 0.41)
(0.76, -0.32, 0.57), (0.84, -0.44, 0.32), (0.89, -0.41, 0.20), (0.79, -0.51, 0.32), (0.71, -0.58, 0.39)
(0.95, 0.03, 0.30), (0.86, -0.51, -0.06), (0.94, -0.33, 0.07), (0.95, -0.31, 0.00), (0.70, -0.49, 0.52)
(0.82, -0.29, -0.50), (0.52, -0.69, -0.50), (0.67, -0.59, -0.46), (0.70, -0.59, -0.40), (0.88, -0.47, 0.04)
(0.97, -0.04, -0.25), (0.67, -0.04, -0.74), (0.65, 0.01, -0.76), (0.77, -0.09, -0.63), (0.87, -0.14, -0.47)
(0.98, 0.13, 0.12), (0.68, 0.60, -0.42), (0.55, 0.76, -0.34), (0.62, 0.74, -0.27), (0.71, 0.64, -0.30)
(0.93, -0.18, 0.32), (0.98, 0.18, -0.04), (0.81, 0.58, 0.09), (0.81, 0.58, 0.11), (0.82, 0.48, 0.31)
(0.85, -0.25, -0.46), (0.56, -0.08, -0.82), (0.45, -0.01, -0.89), (0.56, -0.01, -0.83), (0.68, 0.08, -0.73)
(0.70, -0.51, -0.50), (-0.09, -0.80, -0.59), (-0.26, -0.68, -0.69), (-0.23, -0.60, -0.76), (-0.04, -0.63, -0.78)
(0.57, 0.35, -0.74), (-0.03, 0.14, -0.99), (0.31, 0.10, -0.95), (0.04, 0.34, -0.94), (-0.13, 0.41, -0.90)
(0.97, 0.14, -0.20), (0.55, 0.49, -0.68), (0.56, 0.65, -0.52), (0.35, 0.76, -0.54), (0.35, 0.81, -0.47)
(0.52, -0.55, -0.65), (0.17, -0.90, -0.39), (0.17, -0.97, -0.17), (0.05, -0.92, -0.40), (-0.15, -0.73, -0.66)
(0.97, -0.07, -0.22), (0.80, -0.60, -0.01), (0.43, -0.61, -0.66), (0.33, -0.73, -0.60), (0.09, -0.98, 0.15)
(0.75, -0.36, -0.56), (0.76, -0.55, -0.35), (0.21, -0.55, -0.81), (0.00, -0.04, -1.00), (0.15, -0.20, -0.97)
(0.87, -0.12, -0.47), (0.72, -0.41, -0.56), (0.81, -0.47, -0.35), (0.76, -0.58, -0.28), (0.45, -0.89, -0.09)
(0.90, 0.22, 0.37), (0.95, -0.12, -0.29), (0.82, 0.04, -0.58), (0.76, 0.14, -0.63), (0.74, 0.26, -0.62)
(0.70, -0.20, 0.69), (0.79, 0.38, 0.48), (0.59, 0.73, 0.36), (0.59, 0.73, 0.34), (0.59, 0.73, 0.35)
(0.54, -0.59, 0.60), (0.84, 0.09, 0.53), (-0.07, 0.96, 0.25), (-0.18, 0.91, 0.37), (-0.02, 0.75, 0.67)
(0.84, -0.54, -0.07), (0.45, -0.63, -0.63), (0.47, -0.58, -0.66), (0.53, -0.66, -0.52), (0.50, -0.83, 0.24)
(0.45, -0.33, -0.83), (-0.36, -0.07, -0.93), (-0.26, 0.00, -0.96), (-0.19, 0.10, -0.98), (-0.05, 0.04, -1.00)
(0.93, 0.36, 0.07), (0.23, 0.56, -0.80), (0.27, 0.71, -0.65), (0.20, 0.79, -0.58), (0.24, 0.79, -0.57)
(0.54, -0.20, 0.82), (0.69, 0.36, 0.63), (0.38, 0.82, 0.42), (0.31, 0.79, 0.53), (0.43, 0.69, 0.59)
(0.19, -0.77, 0.60), (-0.99, -0.14, 0.04), (-0.98, 0.04, -0.20), (-0.93, 0.13, -0.34), (-0.90, -0.22, -0.38)
(0.25, -0.71, 0.66), (-0.24, -0.82, 0.52), (-0.11, -0.98, 0.14), (0.08, -0.98, 0.15), (0.00, -1.00, 0.03)
(0.66, -0.69, 0.31), (0.68, -0.11, -0.72), (0.67, 0.16, -0.73), (0.74, 0.09, -0.67), (0.88, -0.32, -0.34)
(1.00, 0.06, 0.04), (0.64, 0.58, -0.51), (0.45, 0.75, -0.49), (0.48, 0.77, -0.41), (0.63, 0.70, -0.33)
(0.54, -0.31, 0.78), (0.88, -0.19, 0.43), (0.92, 0.07, 0.38), (0.89, 0.22, 0.40), (0.91, 0.28, 0.29)
(0.74, -0.36, 0.56), (0.98, -0.15, 0.11), (1.00, 0.05, -0.07), (1.00, 0.04, -0.02), (0.97, 0.21, -0.07)
(0.93, -0.38, 0.01), (0.55, -0.70, -0.46), (0.57, -0.69, -0.44), (0.67, -0.71, -0.20), (0.75, -0.65, 0.11)
(0.83, -0.42, -0.38), (0.44, -0.66, -0.61), (0.40, -0.61, -0.69), (0.51, -0.63, -0.59), (0.66, -0.55, -0.51)
(0.92, -0.21, -0.34), (0.63, -0.23, -0.74), (0.74, -0.26, -0.61), (0.83, -0.29, -0.47), (0.84, -0.36, -0.40)
(0.99, -0.13, -0.02), (0.83, 0.21, -0.51), (0.67, 0.33, -0.66), (0.78, 0.27, -0.56), (0.83, 0.30, -0.47)
(0.98, -0.21, -0.02), (0.73, 0.06, -0.68), (0.60, 0.46, -0.66), (0.63, 0.48, -0.61), (0.61, 0.53, -0.59)
(0.42, -0.88, -0.24), (0.38, -0.35, -0.85), (0.37, 0.08, -0.93), (0.48, 0.28, -0.83), (0.59, 0.17, -0.79)
(-0.13, -0.98, -0.14), (-0.37, -0.28, -0.89), (-0.14, 0.02, -0.99), (0.02, 0.12, -0.99), (0.04, -0.13, -0.99)
(0.24, -0.86, -0.44), (-0.18, -0.56, -0.81), (-0.07, -0.34, -0.94), (0.04, -0.27, -0.96), (0.05, -0.45, -0.89)
(0.81, -0.25, -0.53), (0.55, -0.06, -0.84), (0.52, 0.17, -0.83), (0.46, 0.23, -0.86), (0.49, 0.24, -0.84)
(0.99, 0.09, -0.09), (0.29, 0.53, -0.79), (0.37, 0.65, -0.66), (0.35, 0.72, -0.60), (0.51, 0.67, -0.54)
(0.86, 0.26, 0.43), (0.65, 0.76, -0.06), (0.34, 0.94, -0.03), (0.42, 0.91, 0.05), (0.66, 0.74, 0.13)
(0.51, -0.37, 0.77), (0.62, 0.48, 0.62), (0.34, 0.77, 0.53), (0.42, 0.64, 0.64), (0.57, 0.48, 0.66)
(0.57, -0.58, 0.58), (0.87, 0.49, 0.00), (0.82, 0.43, 0.37), (0.88, 0.18, 0.44), (0.90, 0.05, 0.43)
(0.46, -0.77, 0.45), (0.71, -0.65, -0.25), (0.75, -0.64, -0.16), (0.84, -0.53, -0.13), (0.85, -0.47, -0.22)
(0.63, -0.76, -0.13), (0.06, -0.48, -0.88), (0.14, -0.21, -0.97), (0.28, -0.15, -0.95), (0.42, -0.26, -0.87)
(0.68, -0.49, -0.54), (0.10, 0.27, -0.96), (-0.06, 0.56, -0.82), (-0.05, 0.72, -0.69), (0.21, 0.60, -0.77)
(0.95, 0.31, -0.10), (0.33, 0.59, -0.73), (0.30, 0.75, -0.59), (0.06, 0.84, -0.54), (0.20, 0.82, -0.54)
(0.39, -0.37, 0.84), (0.82, -0.12, 0.56), (0.73, 0.00, 0.68), (0.82, -0.02, 0.57), (0.73, -0.10, 0.68)
(0.37, -0.69, 0.62), (0.55, 0.81, 0.17), (0.23, 0.91, 0.33), (0.11, 0.95, 0.31), (0.06, 0.83, 0.55)
(0.92, -0.37, 0.13), (0.72, 0.49, -0.50), (0.26, 0.81, -0.52), (0.37, 0.84, -0.40), (0.57, 0.77, -0.30)
(0.92, -0.36, -0.16), (0.50, 0.19, -0.85), (0.51, 0.25, -0.83), (0.64, 0.31, -0.70), (0.72, 0.39, -0.57)
(0.86, -0.40, -0.31), (0.62, -0.01, -0.78), (0.71, -0.17, -0.68), (0.88, -0.37, -0.28), (0.90, -0.12, -0.41)
